,Address,Phone,Website,Hours of Service
Abundant Life Ministry,"1315 Horner Boulevard Sanford, NC 27330",(919) 775-2385,, every weekend  
Abundant Life Miracle Center,"1303 Beaufort Street New Bern, NC 28560",(252) 633-3376,, as needed  
Abundant Life Seed Foundation,"Po Box 772 Port Townsend, WA 98368",(360) 385-5660,www.abundantlifeseed.org,
Abundant Life Tabernacle,"2692 3rd Ave. Bronx, NY 10454",(718) 292-8734,,"Tuesday, Thursday 12:30pm - 2pm."
Abused Adult Resource Center,"P.O. Box 5003 Bismarck, ND 58502",(701) 222-8370,, 365 days (Emergency Shelter)24 Hours (Emergency Shelter)  
Abyssinian Baptist Church,"4210 - 12 Germantown Avenue Philadelphia, PA 19144",(267) 202-3520 x215,,Th 10:00 AM-2:00 PM
Abyssinian Development Corporation,"131 W 138 St. New York, NY 10030",(212) 368-4471,,
Access Agency Food Bank,"231 Broad Street Danielson, CT 6239",(860) 450-7400,,
Access Alaska,"1217 East 10th Ave Anchorage, AK 99501",(907) 248-4777,http://accessalaska.org/,
Access of West Michigan,"2850 Kalamazoo Ave SE Grand Rapids, MI 49560",(616) 774-2175,http://accessofwestmichigan.org/, -Monday-Friday from 8am-4pm  
"ACCESS, Inc.","PO Box 1007 Akron, OH 44303",(330) 376-0997,www.access-shelter.org,
ACCION - New York,"235 Havemeyer Street Brooklyn, NY 11211",(718) 599-5170,,
ACCION Chicago,"3245 W 26th Street Chicago, IL 60623",(773) 376-9004,www.accionchicago.org,
ACCION International,"56 Roland Street Boston, MA 2129",(617) 492-4930,www.accion.org,
ACCION New Mexico,"20 First Plaza N W Albuquerque, NM 87102",(505) 243-8844,,
ACCION San Diego,"1250 6th Avenue San Diego, CA 92101",(619) 685-1380,www.accion.org,
Accord Corporation,"84 Schuyler St. Belmont, NY 14813",(585) 268-7605,www.accordcorp.org,
ACDI/VOCA,"50 F Street NW Suite 1000 Washington, DC 20001",(202) 469-6000,http://www.acdivoca.org/,
Achieving Commuity Transformation,"728 N.43rd Street Philadelphia, PA 19104",(267) 975-0484,,"Every 2nd & 4th Tu	Tuesday		10:00 AM		12:00 PM"
"ACQC (AIDS Center of Queens County), Jamaica","89-74 162nd St. Queens (Jamaica), NY 11432",(718) 896-2500,,Tuesday & Thursday 8:30am - 11am
"ACQC (AIDS Center of Queens County), Woodside","62-07 Woodside Ave., 3rd Floor Queens (Woodside), NY 11377",(718) 472-9400,,"Tuesday, Wednesday, Thursday 10am - 12pm"
ACRC HIV Food Pantry,"2684 Middlefield Rd Suite E Redwood City, CA 94063",(650) 364-6563,,Tues.-Fri 8-6
Acre Family Day Care Corporation,"14 Kirk Street Lowell, MA 1852",(978) 937-5899,www.acrefamily.org,
Acres of Hope,"17855 Lake Arthur Road Applegate, CA 95703",(530) 878-8009,www.acresofhopeonline.org,
Act of Faith Evangelistic Church,"71 Himrod Street Brooklyn, NY 11211",(917) 214-4245,,
Act of Faith Ministries,"141 Manhattan Avenue Brooklyn, NY 11206",(718) 570-8277,,1st and 3rd Thursday 12pm - 2pm
Acta Non Verba: Youth Urban Farm Project (ANV),"P.O. Box 22944 Oakland, CA 94609",(510) 972-3276,http://www.anvfarm.org/,5-Sep
Action for a Better Community,"550 east Main Street Rochester, NY 14604",(585) 325-5116,http://www.abcinfo.org/,
Action for Community Empowerment - ACE,"1 West 125th STreet New York, NY 10026",(212) 996-6388,www.actionace.org,
Action for Eastern Montana,"P.o. Box 1309 Glendive, MT 59330",(406) 377-3564,www.aemt.org/,
Action in Community Through Serivce,"PO Box 74 Dumfries, VA 22026",(703) 441-8606,,
"ACTION, INC's Full Plate","594 Oconee St Athens, GA 30601",(706) 546-8293,," Monday - Friday, 8-4:30pm  "
ACTION-Housing,"425 Sixth Avenue Pittsburgh, PA 15219",() -,,
Acton Ecumenical Food Pantry,"59 H Rd Acton, ME 04001",(207) 636-3768,,"3rd Wednesday 10:00-11:00am
"
Acts Food Pantry,"224 S Main Dumfries, VA 22026",(703) 221-3186,http://www.actspwc.org/, Mon- Fri (8:30am - 4:30pm)  
Acts Of Kindness Inc.,"2042 W. Jefferson Street Philadelphia, PA 19131",(267) 879-0023 x267,,W 1:30 PM-3:00 PM
Ad Hoc Group Against Crime,"1900 Vine St. Kansas City, MO 64108",(816) 861-9100,,
"Adams County Shelter for the Homeless, Inc.","P.O. Box 67 Blue Creek, OH 45616",(937) 544-8164,,
Adamsville Church of God,"1139 McLain Street Goldsboro, NC 27534",(919) 778-3177,,
Added Value,"370 Van Brunt Street Brooklyn, NY 11231",(718) 855-5531,www.added-value.org,
Addison County Community Action Group (ACCAG),"PO Box 165 Middlebury, VT 5753",(802) 388-3608,,
"Addor Community Center, Inc.","1272 South Currant Street Pinebluff, NC 28373",(910) 281-4026,," 1st Sat of month, 10-12  "
Adelante Development Center- Desert Harvest Food Rescue,"3900 Osuna Road NE Albuquerque, NM 87109",(505) 341-2000,http://www.goadelante.org/,
Adelante Mujeres,"2420 19th Avenue Forest Grove, OR 97116",(503) 992-0078,http://www.adelantemujeres.org/,
Adirondack Community Outreach Center,"PO Box 201 North Creek, NY 12853",(518) 251-3481,www.adkoutreach.org,2nd and 4th Tuesday of each Month 1-3 and 5-7 pm 
Administration for Children's Services (TASA - Teenage Services Act Program),"2551 Bainbridge Ave. Bronx, NY",(718) 220-6686,,
Administration for Children's Services (TASA - Teenage Services Act Program),"151 Lawrence Street Brooklyn, NY 11201",(718) 488-5455,,
Admirable Church,"1910 Flatbush Ave. Brooklyn, NY 11210",(347) 779-7192,,Every other Saturday 10am - 12pm
"Adopt-A-Family of the Palm Beaches, Inc.","1712 2nd Avenue North Lake Worth, FL 33460",(561) 253-1361 x102,www.aafpbs.org,
Advent Lutheran Church,"2504 Broadway New York, NY 10025",,,"Food Pantry: 1st Saturday 12pm - 1pm
Soup Kitchen: 4th Saturday 12pm - 1pm"
Adventist Care Center,"528 West 145 Street New York, NY 10031",(212) 926-1203,,
Adventist Community Services of Greater Washington,"501 Sligo Ave Silver Spring, MD 20910",(301) 585-6556,www.acsgw.org,4-Oct
"Adventist Community Services of Greater Washington, Inc.","501 Sligo Avenue Silver Spring, MD 20910",(301) 585-6556,http://www.acsgw.org/, Mon-Thurs 10-4  
Adventures in Learning,"801 South 3rd Street Lander, WY 82520",(307) 332-7248,,
"Advocap, Inc.","19 W First St. Fond Du Lac, WI 54935",(920) 922-7760,,
Affiliated Health Services,"P.o. Box 1376 Mt. Vernon, WA 98273",() -,,
Affordable Homes of New Jersey,"132 Heck Ave. Ocean Grove, NJ 17756",(732) 774-2787,,
Affordable Housing Alliance,"810 N Vineyard Blvd #212 Honolulu, HI 96817",(808) 845-4565,,
Affordable Housing Coalition,"34 Wall Street, Suite 607 Asheville, NC 28801",(828) 252-1155,www.ahcabc.org,
Affordable Housing Network of New Jersey,"145 West Hanover Street Trenton, NJ 8618",(609) 393-3752,http://www.hcdnnj.org/,
Affton Christian Food Pantry,"4960 Heege Road Saint Louis, MO 63123",(314) 580-3138,,
Africa Redemption Alliance,"2324 Davidson Avenue Bronx, NY 10468",(718) 220-0737,www.africaredemption.org,
"African American Advocacy, Support-Services and Survival Institute","The AmASSI Center Inglewood, CA 90301",(310) 419-1969,,
African Cultural Alliance,"5528-5532 Chester Avenue Philadelphia, PA 19143",(215) 729-8225 x215,,M-Th 1:00 PM-4:00 PM
African Immigrants Social and Economic Development Agency,"1223 East Wayne Street Fort Wayne, IN 46803",(260) 705-2728,,
African Services Committee,"429 W. 127th St. New York, NY 10031",(212) 222-3882,www.africanservices.org,
African Services Committee,"429 W. 127th St., 2nd Fl. New York, NY 10027",(212) 222-3882,,Monday- Friday: 9 am-4 pm
"African Women's Dream, Inc.","111-17 Sutphin Blvd Queens (Jamaica), NY 11435",(347) 806-4154,http://africanwomensdream.org/,"Food Pantry: 
Tuesday 4pm-5pm, Saturday 10am-11am"
African-American Cultural Society of the Golden Triangle (Brickfire Project),"104 Main Street Starkville, MS 39759",(662) 323-5321,,
After-School All-Stars,"9000 Sunset Blvd Los Angeles, CA 90069",(310) 275-3232,www.afterschoolallstars.org,
Afterschool Alliance,"1616 H St., NW Suite 820 Washington, DC 20006",(202) 347-2030,http://www.afterschoolalliance.org/,
Afterschool Matters,"66 East Randolph Street Chicago, IL 60601",(312) 742-4182,www.afterschoolmatters.org,
Ag Against Hunger,"1355 Abbot St. Salinas, CA 93901",(831) 755-1480,http://www.agagainsthunger.org/,
AG Salvation Army,"100 Rear South Washington Street - St. Benedicts Learning Center basement @ All Saints Masontown,, PA 15461",(724) 583-9603,,
Agape Christian Center,"59-02 Summerfield Street Ridgewood, NY 11385",(718) 418-2749,http://www.agapenyc.com/,
Agape Community Center,"6100 N 42nd Street Milwaukee, WI 53209",(414) 464-4440,http://agape-center.org/," Mon-Fri, 8:30 a- 9 p with special activities on weekends.  "
"Agape Corner, Inc.","1402 Holloway Drive Durham, NC 27703",(919) 682-6566,, 24/7  
Agape Food Bank / Catholic Charities,"625 McCue Road Lakeland, FL 33815",(863) 665-7074,,
Agape Food Pantry,"90 Hamilton Ave Stratford, CT 6615",(203) 430-0762,,
Agape Food Pantry,"26 Perchwood Drive Stafford, VA 22405",(703) 987-4146,,
Agape Help House Food Pantry & Resale Shop,"125 N. First Street Pacific, MO 63069",(314) 271-5315,,
Agape Life Church (Agape Life Christian Fellowship),"5970 W. 60th Avenue Arvada, CO 80003",(303) 431-6481,http://www.agapelife.org/,
Agape Ministry of Warrenton,"713 Powell St Warrenton, MO 63383",(636) 456-4645,,
Agape Social Service Ministry,"929 Marcy Avenue Brooklyn, NY 11216",(718) 636-8500,,"Tuesday, Thursday 10:30am-2:30pm"
Agape Word Church,"6837 lakeville Rd Orlando, FL 32818",(407) 814-0250,,
Agricultural Marketing Resource Center,"Ag Marketing Resource Center Ames, IA 50011",(515) 294-5567,,
Agriculture & Land-Based Training Association (ALBA),"PO Box 6264 Salinas, CA 93912",(831) 758-1469,, Mon-Fri9-5  
Agua Fria Food And Clothing Bank,"405 E. Harrison Avondale, AZ 85323",(623) 932-9135,,
AHA Service Coord. for the Elderly," Franklin, NC 28744",(828) 257-2638,,
AHC Inc.,"2300 S. Ninth St. Arlington, VA 22204",(703) 486-0626,www.ahcinc.org,
AHMEN Housing Corporation,"5090 Old Ellis Pointe, Suite B Roswell, GA 30075",(678) 381-2000,www.ahmenhousing.org,
Aid for Friends,"653 S. 4th Ave Pocatello, ID 83205",(208) 232-0178,www.aidforfriends.net,
Aids Center of Queens County,"97-45 Queens Boulevard 12th Floor Rego Park, NY 11374",(718) 896-2500,http://www.acqc.org/, Monday to Friday 9 am to 5 pm  
AIDS Community Services of Western New York,"206 S. Elmwood Ave. Buffalo, NY 14201",(716) 847-0212,www.aidscommunityservices.com,
AIDS Delaware Inc.,"100 West 10th st. Wilmington, DE 19801",(302) 652-6776,http://aidsdelaware.org/," mon: 9-1, wed: 1-6, thu: 12-2  "
AIDS Ministries Program of Southern New England,"The Salvation Army Hartford, CT 6105",(860) 543-8406,,
AIDS Service Center NYC,"64 W. 35th St. 3rd Fl. New York, NY 10001",(212) 645-0875,http://www.ascnyc.org/eng/basic-needs-program/,Friday: 10am - 3pm
AIDS Service Center of Lower Manhattan,"80 Fifth Avenue New York, NY 10011",(212) 352-9190,www.asclm.org,
Aitkin County Health & Human Service Agency ,"204 1st St NW Atkin, MN 56431",(218) 927-7200,http://co.aitkin.mn.us/departments/hhs/hhs-home.html,
Ajo Community Supported Agriculture,"901 W. Morondo Ave Ajo, AZ 85321",(520) 387-3132,ajocsa.com,
Ak Dept Of Education Food Dist,"801 W 10th St Suite 200 Juneau, AK 99801",(907) 465-8710,http://www.eed.state.ak.us/tls/cnp/USDA.html,"Does not directly supply food, distributes food to schools, residential child care institutions, CACFP and food pantries and soup kitchens through TEFAP."
Akron-Canton Regional Food Bank,"350 Opportunity Parkway Akron, OH 44307",(330) 535-6900,,
Al Beech/West Side Food Pantry,"190 S. Sprague Ave. Kingston, PA 18704",(570) 288-0934,http://churchofchristuniting.org/churchofchristuniting/food-pantry/,"Times of operation Tuesday & Friday, 10:00am – 11:00am (pick-up)"
ALA Association for Library Service to Children,"50 East Huron Chicago, IL 60611",(800) 545-2433 x5271,www.ala.org/ala/alsc,
Alabama Arise,"P.O. Box 612 Montgomery, AL 36101",(334) 832-9060,,
Alabama Rural Heritage Foundation,"330 4th Avenue, P.O. Box 65 Thomaston, AL 26783",(334) 627-3388,www.craftsofalabama.com/,
Alabama Sustainable Agriculture Network - ASAN,"95 Cross Creek Lane Ashville, AL 35953",(256) 318-0537,,
Alameda County Community Food Bank,"7900 Edgewater Drive Oakland, CA 94621",(510) 635-3663,http://www.accfb.org/,
Alameda Point Collaborative,"677 W. Ranger Ave. Alameda, CA 94501",(510) 898-7800,www.apcollaborative.org,
Alaska Food Coalition,"2121 Spar Avenue Anchorage, AK 99501",(907) 222-3103,http://www.alaskafood.org/,Does not distribute food
Alaska Village Initiatives,"1577 C Street #304 Anchorage, AK 99501",(907) 274-5400,http://www.alaskavillageinitiatives.com/,
Albany Community Land Trust,"340 1st Street Albany, NY 12206",(518) 426-1296,,
Albany Senior Center,"196 Albany Avenue Brooklyn, NY 11213",(718) 773-3848,,
Albany Service Corps,"7 Hoffman Ave. Albany, NY 12209",(518) 434-2677,,
Alberton Community Food Pantry,"503 5th St. Alberton, MT 59820",(406) 722-1133,,
Alger Community Food Pantry,"101 Court St Munising, MI 49862",(906) 387-4440,,12:00-4:30 Tues & Thur.
All Angel's Church,"251 West 80th Street New York, NY 10024",(212) 362-9300,,
All Angels Church,"251 W 80th Street New York, NY 10024",(212) 362-9300,,
All Children's House,"171 East 121 Street New York, NY 10035",(212) 996-2263,,
All Faiths Food Bank,"8171 Blaikie Ct. Sarasota, FL 34240",(941) 379-6333,http://www.allfaithsfoodbank.org/,
All Nations Baptist Church of Woodhaven,"86-74 80th St. Queens (Woodhaven), NY 11421",(718) 847-4229,,"Saturday 1pm, sign up from 8am to 9am. "
All People's Church,"182 Tompkins Avenue Brooklyn, NY 11206",(718) 782-3703,,
All People's Church of Apostles,"422 Gates Avenue Brooklyn, NY 11216",(718) 387-0675,,
All Peoples Church,"2600 N 2nd Street Milwaukee, WI 53212",(414) 264-1616,http://www.allpeoplesgathering.org/,
All Saints Episcopal Church,"155 Clark Street Enterprise, FL 32725",(386) 574-0421,,
All Saints Episcopal Church,"230 East 60th Street New York, NY 10022",(212) 758-0447,http://allsaintsnyc.org/community-meal/,"Pantry: Thursday 12:30pm
Kitchen: Saturdays 4:30pm - 5:30pm"
All Saints Pantry,"47 East 129 Street New York, NY 10035",(212) 534-3535,,Saturday 8:30am-10am 
All Saints Soup Kitchen & Food Pantry,"7824 W. Fort Street Detroit, MI 48209",(313) 841-1428,http://asskdetroit.org/, Tuesday 10am- noonWednesday 130-300pmThursday 130- 300pm  
All Souls Church,"1157 Lexington Ave. New York, NY 10075",(212) 535-5530,,"Soup Kitchen: Monday 7pm-9pm, Friday 12pm-1pm"
All Souls Unitarian Church,"1157 Lexington Avenue New York, NY 10021",(212) 535-5530,,Friday-12:00pm Monday-7:00pm
Allegheny West Foundation,"2236 W Hunting Park Avenue Philadelphia, PA 19132",(215) 223-3714 x215,,"M, W & F 12:00 PM-5:00 PM"
Allen AME Church - Food Pantry,"5911 Larchwood Avenue Philadelphia, PA 19143",(215) 476-6347,,M 10:00 AM-12:00 PM;  T 10:00 AM-12:00 PM;  W 10:00 AM-12:00 PM;  TH 10:00 AM-12:00 PM;  
Allen AME Church - Food Pantry,"5911 Larchwood Avenue Philadelphia, PA 19143",(215) 476-6347,,M 10:00 AM-12:00 PM;  T 10:00 AM-12:00 PM;  W 10:00 AM-12:00 PM;  TH 10:00 AM-12:00 PM;  
Allen Memorial Ame Church,"944 Rogers Avenue Brooklyn, NY 11226",(718) 282-7860,,
Allen Ministerial Alliance Food Pantry,"1515 N Greenville Ave Allen, TX 75002",(214) 644-2090,,
Allen Neighborhood Center,"1619 E. Kalamazoo St Lansing, MI 48912",(517) 367-2468,http://www.allenneighborhoodcenter.org/,
Allen Park Church of Christ,"23610 W Outer Drive Allen Park, MI 48101",(313) 598-1131,http://www.allenparkcoc.org/,Last Friday of the month 9:30-10:30am
Allen Park Presbyterian Church,"7101 Park Ave Allen Park, MI 48101",(313) 383-0100,http://www.appc.us/,Community SHARE Dinners 6pm Wednesdays
Allen Temple Baptist Church,"8501 International Blvd. Oakland, CA 94621",(510) 544-8910,http://www.allen.temple.org/, -MON-FRI 9:00AM-6:00PMSAT. & SUN. - BY APPOINTMENT  
Allentown Area Ecumenical Food Bank,"534 Chew Street Allentown, PA 18102",(610) 821-1332,," Mon, Thurs., Fri9:30am-12pm  "
Alliance For A Better Community,"163 East Main Street Little Falls, NJ 7424",(973) 812-7916,www.abc-littlefalls.org,
Alliance of AIDS Services-Carolina,"3622 Haworth Drive Raleigh, NC 27620",(919) 571-6600,http://www.aas-c.org/," M-F, 9 a.m. - 5 p.m.  "
Alliance of Veterans War/Labor,"2101 Strahle Street App 514 Philadelphia, PA 19114",(215) 728-6159 x215,,Friday   12:00 PM   3:00 PM
Allston - Brighton Food Pantry,"404 Washington Street Brighton, MA 2135",(617) 254-4046,,
Alltebore 7th Day Adventist Church,"Elmwood & Dennis Street Attleboro, MA 2703",(508) 761-6203,,
Alms Village,"200 W. 29th st. Wilmington, DE 19802",() -,," mon, tue, thu:1-3  "
Aloha Church of God Food Pantry,"18380 SW Kinnaman Road Aloha, OR 97007",(503) 649-5678,http://www.alohacog.org/,"W/Th 1-3, Last Saturday of each month 10-1"
"Aloha Inn, of the Archdiocesan Housing Authority","P.O. Box 2548 Seattle, WA 98111",(206) 283-6070,www.alohainn.org,
Alpha & Omega Church,"410 East Washington Street Kinston, NC 28501",(252) 523-0355,, M-F 9-5  
Alpha & Omega Church Assn,"1770 Windover Oaks Cir # 41 Titusville, FL 32780",(321) 225-4953,,
Alpha and Omega Church Assoc.,"310 Fitness Cir. Melbourne, FL 32901",(321) 266-3238,,
Alpha Baptist Church,"108 Cunard St Wilmington, DE 19804",(302) 998-8705,https://www.alphaworship.org/, mon-fri: 9-3  
Alpha Genesis,"1509 Church Lane Philadelphia, PA 19141",(215) 276-9855 x267,,2nd M 1:00 PM-3:00 PM
"Alpha Workshops, Inc.","245 W. 29 Street New York, NY 10001",(212) 594-7320,www.alphaworkshops.org,
Alston Chapel United Holy Church,"2012 Alston Chapel Road Pittsboro, NC 27312",(919) 542-4111,," W 9-6, M & F as needed  "
Alternative Energy Resources Organization - AERO,"432 North Last Chance Gulge Helena, MT 59601",(406) 443-7272,weedeco.msu.montana.edu/aero/home.htm,
Altrmont/820 River Street Inc.,"108-30 Supthin Boulavard Jamaica, NY 11435",(718) 658-0581,,
Amado Community Food Bank,"P.O. Box 729 Amado, AZ 85629",(520) 398-2479,http://communityfoodbank.com/get-involved/amado/,
Amador-Tuolumne Community Action Agency Food Bank,"427 N. Hwy 49 Sonora, CA 95370",(209) 984-3960,http://www.atcaa.org/, M-F  
Amazing Grace Evangelical Lutheran Church,"2424 McElderry Street Baltimore, MD 21205",(410) 276-5674,http://www.amazinggracelutheran.org/," The church is open Monday-Friday, 9 a.m.-5 p.m., and Sundays for worship.The Center for Grace-Full Living (including the food pantry) is open Mondays and Wednesdays from 3-5 p.m.  "
Amazing Grace Fellowship Food Pantry,"388 Hammond St Bangor, ME 4401",(207) 745-3927,,
Amazing Grace Food Pantry,"16 Stack St Middletown, CT 6457",(860) 808-9748,,
Amelia Nazarene Church,"1295 W. Ohio Pike Amelia, OH 45102",(513) 753-9446,,
America the Beautiful Fund,"725 15th Street NW Washington, DC 20005",(202) 638-1649,www.america-the-beautiful.org,
America's Second Harvest,"35 East Wacker Drive, Suite 2000 Chicago, IL 60601",(312) 263-2303,www.secondharvest.org,
America's Second Harvest Food Bank of Coastal Georgia,"2501 E. President Street Savannah, GA 31404",(912) 236-6750,http://www.helpendhunger.org/, Monday - Friday 8-5:30 ESTDoes not do direct services. Directs people to these programs.  
America's Second Harvest of Greater St. Joseph,"915 Douglas Street St. Joseph, MO 64505",(816) 364-3663,www.stjofoodbank.org," M-F, 7 am- 4 pm  "
America's Second Harvest of Tampa Bay,"5300 E. Adamo Dr., Ste. G Tampa, FL 33619",(813) 254-1190,www.a2htampabay.org,
American Community Gardening Association,"1777 E Broad Street Columbus, OH 43203",(614) 645-1880,www.communitygarden.org,
American Farm Bureau,"600 Maryland Ave. SW Washington, DC 20024",(202) 406-3600,www.fb.org,
American Friends Service Committee - New Mexico,"1600 5th St. NW Albuquerque, NM 87102",(505) 842-7343,afsc.org/office/albuquerque-nm,
American Indian Center,"1630 W. Wilson Avenue Chicago, IL 60640",(773) 275-5871,www.aic-chicago.org,
American Indian OIC - Project Grow,"1845 E Franklin Avenue Minneapolis, MN 55404",(612) 341-3358,http://aioic.org/,
American Jewish World Service,"45 West 36th Street, 10th Floor New York, NY 10018",(212) 736-2597,www.ajws.org/,
American Red Cross,"704 North Thompson Street Whiteville, NC 28472",(910) 642-3364,, M-F 9-5  
American Red Cross of Tioga County,"16 Water Street Wellsboro, PA 16901",(570) 724-2941,,
"American Red Cross, Rock River Chapter","727 N. Church Street Rockford, IL 61107",(815) 963-8471,www.redcross.org/il/rockriver,
Americana Community Center,"4801 Southside Dr. Louisville, KY 40214",(502) 366-7813,americanacc.org, Monday-Thursday 8am-9pmFriday 10 am-8pmSaturday 9am-3pmSunday 9am-2pm  
Amethyst House,"P.o. Box 11 Bloomington, IN 47404",(812) 336-3570,,
Amethyst Women's Project,"1907 Mermaid Avenue Brooklyn, NY 11224",(718) 333-2067,www.awp-ci.com, 9am-5pm M-F  
Amherst Church of the Nazarene,"4706 mapleview dr vermilion, OH 44089",(440) 967-9061,,
Amherst Survival Center,"1200 N Pleasant St. North Amherst, MA 1059",(413) 549-3968,, Weekdays 9 am-3 pm. Also Thursday until 7 pm.  
Amherst Survival Center,"138 Sunderland Road North Amherst, MA 01059",(413) 549-3968,www.amherstsurvival.org,"M/T/F 11am-3pm, Thursdays 11am-7pm, closed Wed."
Amherst Survival Center,"138 Sunderland Road North Amherst, MA 01059",(413) 549-3968,www.amherstsurvival.org,"M/T/F 11am-3pm, Thursdays 11am-7pm, closed Wed."
Ammi Evangelical Baptist Church,"1799 Flatbush Ave Brooklyn, NY 11210",(718) 692-3925,,
Amos House,"415 Friendship Street Providence, RI 2907",(401) 272-0220,,
Anacostia Health Center,"1500 Galen Street SE Washington, DC 20020",(202) 610-5491,,"Monday - Friday 8:30 am - 5 pm
Lunch: 12 pm-1 pm"
Anacostia Service Center,"2100 Martin Luther King Avenue, SE Washington, DC 20020",(202) 645-4614,,"Monday, Tuesday, Thursday, Friday - 7:30am-4:45pm
Wednesday 7:30am-8:00pm"
Anahola Homesteaders Council,"P.O. Box 51 Anahola, HI 96703",(808) 823-0927,www.anahola.net/about_us.html,
Anchor Baptist Church,"3400 New Hendersonville Highway Pisgah Forest, NC 28768",(828) 884-7610,,
Anchor Baptist Church & Ministries,"3232 Hendersonville Hwy Pisgah Forest, NC 28768",(828) 877-2978,,
